"","x"
"1","P55072"
"2","P54920"
"3","Q9H4M9"
"4","O95782-2"
"5","O75436"
"6","Q9UNF0"
"7","Q13596"
"8","Q567U6"
"9","Q9Y6G5"
"10","Q99536"
"11","Q9UBQ0"
"12","O60493"
"13","Q9UNH7"
"14","Q8N3F8"
"15","Q15436"
"16","Q9Y5X3"
"17","Q9BXS5"
"18","O95219"
"19","O60826"
"20","Q9H444"
"21","Q9UBP0-3"
"22","Q4G0F5"
"23","O95295"
"24","O60749"
"25","Q9BXF6"
"26","Q9UQN3"
"27","P53992"
"28","Q9NZN3"
"29","Q9H0E2"
"30","Q6ZSR9"
"31","O95630"
"32","Q2M2I8"
"33","O43633"
"34","P09496-2"
"35","P49757-4"
"36","O43264"
"37","Q8IWB7"
"38","Q96QK1"
"39","Q8TD16"
"40","Q92609"
"41","P09497-2"
"42","O43747"
"43","Q92783-2"
"44","Q641Q2"
"45","Q9H939"
"46","Q8IUR0"
"47","P20338"
"48","Q5T1M5"
"49","Q12768"
"50","Q9NRW7"
"51","O14972"
"52","Q9UL33-2"
"53","Q9UN37"
"54","P40818"
"55","Q13501"
"56","Q15036"
"57","Q8WVT3"
"58","Q14677"
"59","Q6ULP2-5"
"60","Q15042"
"61","Q8WXA3-2"
"62","Q9P000"
"63","Q7Z3J2"
"64","Q9UMZ2-5"
"65","Q9H3S7"
"66","O75886"
"67","Q9HD42"
"68","Q92572"
"69","P61966"
"70","Q9H2M9"
"71","Q15437"
"72","Q86VX2-2"
"73","Q9P253"
"74","Q9Y6Y8"
"75","Q9GZQ3"
"76","Q96AX1"
"77","P33121"
"78","O14964"
"79","O94855"
"80","Q9H270"
"81","P78537-2"
"82","P56377"
"83","Q2M389"
"84","Q9Y6W3"
"85","Q08AM6"
"86","Q7L099-4"
"87","Q96JC1-2"
"88","Q14457"
"89","Q8IYB1"
"90","O95487-2"
"91","Q9NXN4-2"
"92","Q9UBI1"
"93","P49754-2"
"94","Q7Z392"
"95","Q8NFA0"
"96","Q96M27"
"97","Q9BZF3-4"
"98","P48553"
"99","Q8N122-3"
"100","Q86X83-2"
"101","O00308"
"102","Q8WV92"
"103","Q8WUH2"
"104","Q96EV8"
"105","Q9Y4E6-2"
"106","Q92562"
"107","Q8WVR3"
