GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	O14964	HGS	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:15611048		9606	HGNC		C
UniProtKB	O14964	HGS	part_of	GO:0005768	endosome	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	O60749	SNX2	part_of	GO:0005768	endosome	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	O75436	VPS26A	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:20682791		9606	UniProt		C
UniProtKB	O75436	VPS26A	part_of	GO:0005768	endosome	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	Q13596	SNX1	part_of	GO:0005768	endosome	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	Q14457	BECN1	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:23878393		9606	ParkinsonsUK-UCL		C
UniProtKB	Q15036	SNX17	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:28892079		9606	UniProt		C
UniProtKB	Q15036	SNX17	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:23382219		9606	MGI		C
UniProtKB	Q2M389	WASHC4	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:20923837		9606	MGI		C
UniProtKB	Q7Z3J2	C16orf62	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:28892079		9606	UniProt		C
UniProtKB	Q96QK1	VPS35	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:28892079		9606	UniProt		C
UniProtKB	Q96QK1	VPS35	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:15078903		9606	UniProt		C
UniProtKB	Q96QK1	VPS35	part_of	GO:0005768	endosome	ECO:0000314	IDA	GO_REF:0000054		9606	LIFEdb		C
UniProtKB	Q96QK1	VPS35	part_of	GO:0005768	endosome	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	Q9H270	VPS11	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:20682791		9606	UniProt		C
UniProtKB	Q9H3S7	PTPN23	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:21179510		9606	UniProt		C
UniProtKB	Q9H444	CHMP4B	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:17701905		9606	UniProt		C
UniProtKB	Q9UBQ0	VPS29	part_of	GO:0005768	endosome	ECO:0000314	IDA	GO_REF:0000054		9606	LIFEdb		C
UniProtKB	Q9UN37	VPS4A	part_of	GO:0005768	endosome	ECO:0000314	IDA	PMID:17940959		9606	UniProt		C
UniProtKB	Q9UQN3	CHMP2B	colocalizes_with	GO:0005768	endosome	ECO:0000314	IDA	PMID:24878737		9606	UniProt		C
